x	y
0.875912408759124	0.42970822281167104
1.240875912408759	0.8594164456233421
1.386861313868613	1.312997347480106
1.605839416058394	2.1246684350132625
1.897810218978102	4.058355437665782
2.18978102189781	5.753315649867374
2.335766423357664	7.400530503978779
2.627737226277372	8.904509283819628
2.700729927007299	9.76392572944297
2.9197080291970803	10.838196286472147
3.284671532846715	12.270557029177718
3.576642335766423	13.46419098143236
3.941605839416058	14.681697612732094
4.671532846715328	15.82758620689655
5.912408759124087	16.305039787798407
7.664233576642335	15.73209549071618
9.051094890510948	14.824933687002652
10.510948905109489	13.89389920424403
12.043795620437955	12.915119363395224
13.649635036496349	11.912466843501326
15.036496350364962	11.148541114058355
17.51824817518248	10.09814323607427
19.635036496350363	9.3342175066313
21.16788321167883	8.76127320954907
24.160583941605836	7.877984084880636
27.22627737226277	7.090185676392572
30.43795620437956	6.350132625994695
33.7956204379562	5.4907161803713525
37.66423357664233	4.79840848806366
42.18978102189781	4.058355437665782
46.78832116788321	3.509283819628647
49.708029197080286	3.1511936339522544
53.357664233576635	2.8408488063660475
58.248175182481745	2.5305039787798407
61.60583941605839	2.3872679045092835
66.05839416058393	2.172413793103448
